0,1,2,3,4,5
Lease	receivables	relating	to	sales-type	leases	are	presented	on	the	co,nsolidated	balance	sheets	as	follows,(in	millions):,,,
,,"June	30,	2025",,Decemb,"er	31,	2024"
Gross	lease	receivables,$,,382,$,484
Unearned	interest	income,,,(25),,(38)
Allowance	for	expected	credit	losses,,,(6),,(6)
Net	investment	in	sales-type	leases,$,,351,$,440
Reported	as:,,,,,
Prepaid	expenses	and	other	current	assets,$,,152,$,152
Other	non-current	assets,,,199,,288
Net	investment	in	sales-type	leases,$,,351,$,440
