0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,Gross,,,Gross,,,,,,,
,,,,Unrealize,d,,Unrealize,d,,,Cash,and	Cash,Sh,ort-Term
,Adj,usted	Cost,,Gains,,,Losses,,F,air	Value,Eq,uivalents,Inv,estments
Cash,$,"14,386",$,,,$,,,$,"14,386",$,"14,386",$,
Certificates	of	deposit	and	time	deposits,,"12,767",,,,,,,,"12,767",,,,"12,767"
Commercial	paper,,"3,908",,,11,,,,,"3,919",,,,"3,919"
U.S.	government	securities,,"3,618",,,3,,,(1),,"3,620",,,,"3,620"
Corporate	debt	securities,,117,,,1,,,,,118,,,,118
Money	market	funds,,"1,753",,,,,,,,"1,753",,"1,753",,
"Total	cash,	cash	equivalents	and	short-term",,,,,,,,,,,,,,
investments,$,"36,549",$,,15,$,,(1),$,"36,563",$,"16,139",$,"20,424"
