Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16
Recourse debt:,,,,,,,,,,,,,,,
RCF Credit Agreement,$,,,$,,,$,,,$,"5,000",,Not applicable,,January 2028
Other,1,,,2,,,3,,,,,,4.70-5.75%,,July 2025-January 2031
Total recourse debt,1,,,2,,,3,,,"5,000",,,,,
Non-recourse debt:,,,,,,,,,,,,,,,
Automotive Asset-backed Notes,"1,878",,,"1,532",,,"3,421",,,,,,2.53-6.57%,,June 2026-June 2035
China Working Capital Facility,,,,"2,790",,,"2,790",,,,,,2.11%,,March 2026-April 2026 (2)
Energy Asset-backed Notes,53,,,384,,,441,,,,,,5.08-6.25%,,June 2050
Cash Equity Debt,30,,,286,,,324,,,,,,5.25-5.81%,,July 2033-January 2035
Total non-recourse debt,"1,961",,,"4,992",,,"6,976",,,,,,,,
Total debt,"1,962",,,"4,994",,,$,"6,979",,$,"5,000",,,,
Finance leases,78,,,186,,,,,,,,,,,
Total debt and finance leases,$,"2,040",,$,"5,180",,,,,,,,,,
