2025,Column_2,Interests,Column_4,Shares,Column_6,Amount,Column_8,Capital(Loss) Income,Column_10,Earnings,Column_12,Equity,Column_14,Subsidiaries,Column_16,Equity
"Balance as of March 31, 2025",$,,62,"3,220",$,3,$,"39,456","$(424)$35,618",,$,"74,653",$,703,$,"75,356"
equity incentive awards,,,,4,,,,215,,,,215,,,,215
Stock-based compensation,,,,,,,,692,,,,692,,,,692
interests,,,(2),,,,,,,,,,,(23),,(23)
Net income,,,1,,,,,,,"1,172",,"1,172",,17,,"1,189"
Other comprehensive income,,,,,,,,,582,,,582,,,,582
"Balance as of June 30, 2025",$,,61,"3,224",$,3,$,"40,363","$158$36,790",,$,"77,314",$,697,$,"78,011"
,,,,Commo,n,Stock,,,,,,,,,,
,,Redeemabl,e,,,,A,dditionalOther,,,,Total,N,oncontrolling,,
,N,oncontrolli,ng,,,,,Paid-InComprehensive,,Retained,St,ockholders’,,Interests in,,Total
"Six Months Ended June 30, 2025",,Interests,,Shares,,Amount,,Capital(Loss) Income,,Earnings,,Equity,,Subsidiaries,,Equity
2024,$,,63,"3,216",$,3,$,"38,371","$(670)$35,209",,$,"72,913",$,704,$,"73,617"
equity incentive awards,,,,8,,,,528,,,,528,,,,528
Stock-based compensation,,,,,,,,"1,354",,,,"1,354",,,,"1,354"
interests,,,(4),,,,,,,,,,,(34),,(34)
"Shareholder settlement, net",,,,,,,,110,,,,110,,,,110
Net income,,,2,,,,,,,"1,581",,"1,581",,27,,"1,608"
Other comprehensive income,,,,,,,,,828,,,828,,,,828
"Balance as of June 30, 2025",$,,61,"3,224",$,3,$,"40,363","$158$36,790",,$,"77,314",$,697,$,"78,011"
