filename,method,page,rows,cols,accuracy,content_quality,financial_score
tesla_camelot_stream_p1_t1.csv,camelot_stream,1,13,2,95.42,0.846,0
tesla_camelot_stream_p1_t2.csv,camelot_stream,1,8,3,97.53,0.75,0
tesla_pdfplumber_p1_t1.csv,pdfplumber,1,1,3,,1.0,0
tesla_camelot_stream_p2_t3.csv,camelot_stream,2,21,4,97.31,0.869,10
tesla_camelot_stream_p3_t4.csv,camelot_stream,3,16,1,100.0,1.0,8
tesla_camelot_stream_p4_t5.csv,camelot_stream,4,33,7,99.79,0.654,31
tesla_pdfplumber_p4_t1.csv,pdfplumber,4,41,6,,0.717,46
tesla_camelot_stream_p5_t6.csv,camelot_stream,5,39,13,99.73,0.613,44
tesla_pdfplumber_p5_t1.csv,pdfplumber,5,37,12,,0.644,44
tesla_camelot_stream_p6_t7.csv,camelot_stream,6,11,13,97.25,0.622,24
tesla_pdfplumber_p6_t1.csv,pdfplumber,6,8,12,,0.698,24
tesla_camelot_stream_p7_t8.csv,camelot_stream,7,30,17,98.51,0.524,50
tesla_pdfplumber_p7_t1.csv,pdfplumber,7,7,27,,0.513,34
tesla_pdfplumber_p7_t2.csv,pdfplumber,7,8,27,,0.481,34
tesla_camelot_stream_p8_t9.csv,camelot_stream,8,34,18,97.99,0.471,50
tesla_pdfplumber_p8_t1.csv,pdfplumber,8,7,27,,0.513,37
tesla_pdfplumber_p8_t2.csv,pdfplumber,8,9,27,,0.469,37
tesla_camelot_stream_p9_t10.csv,camelot_stream,9,44,7,100.0,0.633,41
tesla_pdfplumber_p9_t1.csv,pdfplumber,9,43,6,,0.723,44
tesla_camelot_stream_p10_t11.csv,camelot_stream,10,10,13,97.49,0.719,20
tesla_pdfplumber_p10_t1.csv,pdfplumber,10,8,12,,0.75,20
tesla_camelot_stream_p11_t12.csv,camelot_stream,11,26,1,100.0,1.0,32
tesla_camelot_stream_p11_t13.csv,camelot_stream,11,10,6,96.65,0.85,29
tesla_pdfplumber_p11_t1.csv,pdfplumber,11,9,6,,0.806,27
tesla_camelot_stream_p12_t14.csv,camelot_stream,12,41,13,62.0,0.732,51
tesla_pdfplumber_p12_t1.csv,pdfplumber,12,3,12,,0.806,19
tesla_camelot_stream_p13_t15.csv,camelot_stream,13,10,9,95.24,0.644,2
tesla_pdfplumber_p13_t1.csv,pdfplumber,13,6,8,,0.708,5
tesla_pdfplumber_p13_t2.csv,pdfplumber,13,1,8,,0.875,0
tesla_pdfplumber_p13_t3.csv,pdfplumber,13,4,12,,0.812,23
tesla_camelot_stream_p14_t16.csv,camelot_stream,14,8,13,96.26,0.702,18
tesla_pdfplumber_p14_t1.csv,pdfplumber,14,5,12,,0.8,18
tesla_camelot_stream_p15_t17.csv,camelot_stream,15,30,9,95.33,0.693,58
tesla_pdfplumber_p15_t1.csv,pdfplumber,15,5,9,,0.711,25
tesla_pdfplumber_p15_t2.csv,pdfplumber,15,6,9,,0.917,28
