0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Results	of	Operations,,,,,,,,,,,,,,,,
Revenues,,,,,,,,,,,,,,,,
,T,hree	Mont,hs	E,nded	June,,,,,,,,,,,,
,,3,"0,",,,Chang,e,,Si,x	Months	E,nde,"d	June	30,",,Chang,e,
(Dollars	in	millions),,2025,,2024,,$,%,,,2025,,2024,,$,%,
Automotive	sales,$,"15,787",$,"18,530",$,"(2,743)",,(15)%,$,"28,712",$,"34,990",$,"(6,278)",,(18)%
Automotive	regulatory	credits,,439,,890,,(451),,(51)%,,"1,034",,"1,332",,(298),,(22)%
Automotive	leasing,,435,,458,,(23),,(5)%,,882,,934,,(52),,(6)%
Total	automotive	revenues,,"16,661",,"19,878",,"(3,217)",,(16)%,,"30,628",,"37,256",,"(6,628)",,(18)%
Services	and	other,,"3,046",,"2,608",,438,,17	%,,"5,684",,"4,896",,788,,16	%
Total	automotive	&	services	and	other	segment,,,,,,,,,,,,,,,,
revenue,,"19,707",,"22,486",,"(2,779)",,(12)%,,"36,312",,"42,152",,"(5,840)",,(14)%
Energy	generation	and	storage	segment	revenue,,"2,789",,"3,014",,(225),,(7)%,,"5,519",,"4,649",,870,,19	%
Total	revenues,$,"22,496",$,"25,500",$,"(3,004)",,(12)%,$,"41,831",$,"46,801",$,"(4,970)",,(11)%
